9 bcdefghi,aihdc,abd,acbhgfe,adf,aedg,afdh,agdbi,ahb
9 bcdefg,agfdh,ahi,aibfe,adf,aedbg,afb,bic,chd
9 bcdef,agc,abged,ace,adcgh,ahi,biec,eif,fhg
9 bcde,aef,agh,aie,adifb,beig,cfh,cgi,dhfe
9 bcdefgh,ahgi,aid,acife,adf,aedig,afbh,agb,bfdc
9 bcdefg,agh,ahed,ace,adci,aig,afihb,bgic,ehgf
9 bcdefg,agfhi,aid,acih,ahf,aehbg,afb,bfed,bdc
9 bcdef,afg,ahd,achi,aif,aeigb,bfih,cgd,dgfe
9 bcdefgh,ahi,aid,acihe,adgf,aeg,afeh,agdib,bhdc
9 bcdefg,agh,ahfid,aci,aif,aeicg,afhb,bgc,cfed
9 bcdef,agh,ahd,achge,adif,aei,bidh,bgdc,egf
9 bcdef,afgdh,ahi,aibge,adg,agb,bfed,bic,chd
9 bcde,afg,agd,acgfh,ahi,bidg,bfdc,die,ehf
9 bcdef,agc,abgh,ahi,aigf,aeg,bfec,cid,dhe
9 bcdefg,agfh,ahi,aie,adihf,aebg,afb,beic,ched
9 bcdef,agh,ahed,ace,adci,aig,bfih,bgic,ehgf
9 bcdef,afghi,aid,acih,ahg,agb,bfeh,bged,bdc
9 bcde,afg,ahd,achi,aif,beig,bfih,cgd,dgfe
9 bcdefghi,aic,abigf,afe,adf,aedcg,afcih,agi,ahgcb
9 bcdefgh,ahi,aiged,ace,adcgf,aeg,afeci,aib,bhgc
9 bcdefg,ahc,abhed,ace,adchi,aig,afi,biec,ehgf
9 bcdef,afg,ahd,ach,aif,aeigb,bfih,cgid,ehgf
9 bcdefgh,ahgfi,aid,acife,adf,aedib,abh,agb,bfdc
9 bcdefg,agh,aed,ace,adchi,aig,afihb,bgie,ehgf
9 bcdefgh,ahi,aid,acihg,agf,aeg,afedh,agdib,bhdc
9 bcdefg,agh,ahfid,aci,aif,aeich,ahb,bgfc,cfed
9 bcdef,agh,ahd,achgi,aif,aei,bidh,bgdc,dgfe
9 bcdefg,agfeh,ahi,aie,adihb,abg,afb,beic,ched
9 bcdefg,ahi,aed,ace,adcif,aeihg,afh,bgfi,bhfe
9 bcdefgh,ahi,aed,ace,adcif,aeihg,afh,agfib,bhfe
9 bcdefg,aghifc,abfed,ace,adcf,aecbihg,afhb,bgfi,bhf
9 bcdef,afgh,ahfed,ace,adcf,aechigb,bfih,bgifc,fhg
9 bcde,aedf,afgh,ahfbe,adb,bdhigc,cfih,cgifd,fhg
9 bcde,aedf,afgh,ahbe,adb,bhigc,cfih,cgifd,fhg
9 bcde,aedf,afgh,ahfbe,adb,bdigc,cfih,cgid,fhg
9 bcde,aedf,afgh,ahbe,adb,bigc,cfih,cgid,fhg
9 bcdef,afe,aeghid,acig,agcbf,aeb,cedih,cgi,chgd
9 bcdef,afe,aeghd,achi,aicbf,aeb,cih,cgid,dhge
9 bcdef,afec,abghid,acig,agbf,aeb,cedih,cgi,chgd
9 bcdef,afec,abeghd,achi,aicbf,aeb,cih,cgid,dhge
9 bcdef,afec,abghd,achi,aibf,aeb,cih,cgid,dhge
9 bcdef,afec,abeghd,acig,agcbf,aeb,cedih,cgi,dhg
9 bcdef,afec,abegd,achi,aicbf,aeb,cih,dgi,dhge
9 bcdef,afec,abeghi,aig,agcbf,aeb,cedih,cgi,chgd
9 bcde,aedf,agh,ahfbe,adb,bdhig,cfih,cgifd,fhg
9 bcdef,afec,abegh,ahi,aicbf,aeb,cih,cgid,dhge
9 bcdef,afeg,aghd,achige,adgbf,aeb,bedihc,cgid,dhg
9 bcdef,afeg,aghd,achie,adgbf,aeb,beihc,cgid,dhg
9 bcdef,afdcghi,aihgbd,acbfe,adf,aedb,bch,bgci,bhc
9 bcde,afedc,abd,acbe,adbfghi,bihge,efh,egfi,ehf
9 bcd,adce,afebd,acb,bcfghi,cihge,efh,egfi,ehf
9 bcde,aedf,aghifd,acfbe,adb,bdcihg,cfh,cgfi,chf
9 bcdef,afe,aedghi,aihgce,adcbf,aeb,cdh,cgdi,chd
9 bcde,afedc,abd,acb,abfghi,bihge,efh,egfi,ehf
9 bcde,afdc,abd,acb,afghi,bihge,efh,egfi,ehf
9 bcdef,afedc,abd,acb,abghi,aihgb,efh,egfi,ehf
9 bcdef,aedc,abd,acbe,adbfghi,aihge,efh,egfi,ehf
9 bcde,aedf,aghif,afbe,adb,bdcihg,cfh,cgfi,chf
9 bcde,aed,afghi,aibe,adb,cig,cfih,cgi,chgfd
9 bcdef,afe,aedghi,aihgc,acbf,aeb,cdh,cgdi,chd
9 bcdef,afec,abdghi,aihgc,abf,aeb,cdh,cgdi,chd
9 bcdef,afec,abeghi,aihg,acbf,aeb,cdh,cgdi,chd
9 bcde,aedf,aghi,afbe,adb,bdihg,cfh,cgfi,chf
9 bcdef,afec,abedgh,ahigc,acbf,aeb,cdi,cid,dhg
9 bcdef,afec,abdghi,aihgce,adbf,aeb,cdh,cgdi,chd
9 bcdef,afec,abeghi,aihge,adcbf,aeb,cdh,cgdi,chd
9 bcde,aedf,aghid,acfbe,adb,bdihg,cfh,cgfi,chf
9 bcdef,afec,abedgh,ahigce,adcbf,aeb,cdi,cid,dhg
9 bcde,afedc,abd,acbe,adbfgh,bhige,efi,eif,fhg
9 bcdef,afedc,abd,acbe,adbgh,ahigb,efi,eif,fhg
9 bcdefg,agedc,abd,acb,abghif,aeig,afiheb,egi,ehgf
9 bcdefg,aedc,abd,acbe,adbghif,aeig,afihe,egi,ehgf
9 bcdef,afgh,afed,ace,adcf,aechigb,bfih,bgif,fhg
9 bcdef,afgh,aed,ace,adcf,aehigb,bfih,bgif,fhg
9 bcdef,afgh,afed,ace,adcf,aecigb,bfih,bgi,fhg
9 bcdefg,aedhic,abid,acihb,abgf,aeg,afe,bdi,bhdc
9 bcdef,afgh,afed,ace,adc,achigb,bfih,bgif,fhg
9 bcdef,aghc,abhig,agfe,adf,aed,bdcih,bgic,chg
9 bcdefg,aghc,abhig,afe,adf,aedg,afcihb,bgic,chg
9 bcdefg,aghc,abhig,agfe,adf,aedg,afdcib,bic,chg
9 bcdef,afgh,afed,ace,adcf,aechib,bih,bgif,fhg
9 bcdefg,aghc,abhigd,acfe,adf,aedg,afcihb,bgic,chg
9 bcdefg,aghc,abhid,acgfe,adf,aedg,afdihb,bgic,chg
9 bcdefg,aghc,abhid,acgfe,adf,aed,adihb,bgic,chg
9 bcdef,afghi,aid,aci,aihgf,aegb,bfeh,bge,bedc
9 bcdefg,aghic,abid,acihe,adgf,aeg,afeb,bdi,bhdc
9 bcdefg,agedhc,abid,acihbe,adbgf,aeg,afeb,bdi,chd
9 bcdef,afeg,aghd,achige,adgbf,aeb,bedic,cid,dhg
9 bcde,afgh,ahfed,ace,adcf,bechi,bih,bgifc,fhg
9 bcdef,agh,ahigd,acgfe,adf,aedg,bfdci,bic,chg
9 bcdef,aghc,abhid,acgfe,adf,aedg,bfdi,bic,chg
9 bcdefg,aghc,abhigd,acgfe,adf,aed,adcib,bic,chg
9 bcdef,afgh,ahfed,ace,adc,achib,bih,bgifc,fhg
9 bcdef,aghc,abhigd,acgfe,adf,aed,bdci,bic,chg
9 bcdef,adcgh,ahigbd,acbfe,adf,aed,bci,bic,chg
9 bcde,afedc,abd,acb,abfgh,bhige,efi,eif,fhg
9 bcdef,aedc,abd,acb,abfgh,ahige,efi,eif,fhg
9 bcdef,afedc,abd,acb,abgh,ahigb,efi,eif,fhg
9 bcdefg,aedc,abd,acb,abghf,aeig,afihe,egi,fhg
9 bcdef,afgh,afed,ace,adc,achib,bih,bgif,fhg
9 bcde,afgh,afed,ace,adc,bchi,bih,bgif,fhg
9 bcdef,aghc,abhig,agfe,adf,aed,bdci,bic,chg
9 bcdefg,aehc,abid,acihe,adbgf,aeg,afe,bdi,chd
9 bcdef,afgh,ahfed,ace,adc,acib,bih,bgic,fhg
9 bcdef,afghi,aid,aci,aihf,aegb,bfh,bge,bedc
9 bcde,afgc,abghi,aie,adi,bih,bhc,cgf,cfed
9 bcdef,aghc,abhid,acgfe,adf,aed,bdi,bic,chg
9 bcdefg,agehc,abid,acihe,adbgf,aeg,afeb,bdi,chd
9 bcdef,afghi,aid,acie,adihf,aegb,bfh,bge,bedc
9 bcdefg,agedhic,abid,achbe,adbgf,aeg,afeb,bdi,bhc
9 bcdef,afgh,ahfed,ace,adcf,aechigb,bfi,bifc,fhg
9 bcde,aedf,afgh,ahfbe,adb,bdhigc,cfi,cifd,fhg
9 bcde,aedf,afgh,ahbe,adb,bhigc,cfi,cifd,fhg
9 bcde,aedf,afgh,ahfbe,adb,bdigc,cfi,cid,fhg
9 bcde,aec,abef,afgh,ahcb,cigd,dfi,die,fhg
9 bcdef,afc,abf,afghie,adig,agdcb,dfeh,dgi,dhe
9 bcdef,afc,abfd,acfghe,adhi,aidcb,dih,dge,egf
9 bcdef,afc,abfd,acghe,adhi,aicb,dih,dge,egf
9 bcdef,afc,abfd,acfgh,ahi,aidcb,dih,dge,egf
9 bcde,afc,abfd,acfgh,ahi,bidc,dih,dge,egf
9 bcde,aedf,agh,ahfbe,adb,bdig,cfi,cid,fhg
9 bcde,aedf,agh,ahbe,adb,big,cfi,cid,fhg
9 bcdef,afgeh,ahd,ache,adhbgif,aeib,bie,bedc,egf
9 bcde,aefg,ahd,ache,adhgifb,bei,bieh,cged,egf
9 bcde,aefg,aghd,acigf,afb,bedg,bfdihc,cgi,dhg
9 bcde,afgc,abhi,aie,adif,beihg,bfh,cgf,cfed
9 bcde,afgc,abhi,aie,adif,behg,bfh,cgf,ced
9 bcdef,afgc,abhfi,aie,adi,aichgb,bfh,cgf,cfed
9 bcde,aefg,ahd,ach,ahgifb,bei,bieh,cged,egf
9 bcde,afgc,abhfi,aie,adi,bichg,bfh,cgf,cfed
9 bcdef,afgc,abhfi,aie,adif,aechgb,bfh,cgf,ced
9 bcde,aefg,ahd,ache,adgifb,bei,bieh,cgd,egf
9 bcde,aefg,ahd,ach,agifb,bei,bieh,cgd,egf
9 bcd,aefg,ahd,ach,bgif,bei,bieh,cgd,egf
9 bcdef,afgc,abhfi,aie,adi,achgb,bfh,cgf,ced
9 bcdef,afgc,abhi,aie,adif,aeihgb,bfh,cgf,cfed
9 bcdef,afgc,abhid,acie,adhg,agb,bfe,cei,chd
9 bcdef,afgc,abghi,aie,adhg,agb,bfec,cei,chd
9 bcde,aefg,ahd,acif,afb,bedg,bfih,cgi,dhg
9 bcdef,afgc,abgehi,aie,adhcg,agb,bfec,cei,chd
9 bcde,aefg,ahd,acigf,afb,bedg,bfdih,cgi,dhg
9 bcde,aef,agd,achif,afb,bedi,cih,dgi,dhgf
9 bcdef,afeg,aghd,acige,adgbf,aeb,bedihc,cgi,dhg
9 bcdef,afeg,aghd,acige,adbf,aeb,bdihc,cgi,dhg
9 bcdef,afeg,aghd,acie,adgbf,aeb,beihc,cgi,dhg
9 bcdef,afeg,aghd,acie,adbf,aeb,bihc,cgi,dhg
9 bcdef,afdcghi,aigbd,acbfe,adf,aedb,bch,bgi,bhc
9 bcde,aedf,aghfd,acfbe,adb,bdchig,cfi,cif,fhg
9 bcde,aed,afghd,achbe,adb,chi,cih,cgifd,fhg
9 bcdef,afe,aedghi,aigce,adcbf,aeb,cdh,cgi,chd
9 bcdef,afe,aeghi,aige,adcbf,aeb,cdh,cgi,chd
9 bcdef,afe,adghi,aigce,adbf,aeb,cdh,cgi,chd
9 bcdef,afec,abdghi,aigce,adbf,aeb,cdh,cgi,chd
9 bcde,aedf,aghfd,acbe,adb,bchig,cfi,cif,fhg
9 bcdef,afec,abeghi,aige,adcbf,aeb,cdh,cgi,chd
9 bcde,aedf,aghd,acfbe,adb,bdhig,cfi,cif,fhg
9 bcde,aedf,aghd,acbe,adb,bhig,cfi,cif,fhg
9 bcdefg,agf,afehid,acie,adhcf,aecbg,afb,cei,chd
9 bcdefg,agfc,abfehid,acie,adhc,acbg,afb,cei,chd
9 bcdef,afgh,afed,ace,adcf,aechigb,bfi,bif,fhg
9 bcdef,afgh,aed,ace,adcf,aehigb,bfi,bif,fhg
9 bcdef,afeg,aghd,acig,agbf,aeb,bedihc,cgi,dhg
9 bcdef,afdcghi,aigb,abfe,adf,aedb,bch,bgi,bhc
9 bcde,aedf,aghf,afbe,adb,bdchig,cfi,cif,fhg
9 bcde,aed,afgh,ahbe,adb,chi,cih,cgifd,fhg
9 bcdef,afe,aedghi,aigc,acbf,aeb,cdh,cgi,chd
9 bcdef,afec,abdghi,aigc,abf,aeb,cdh,cgi,chd
9 bcde,aedf,aghf,abe,adb,bchig,cfi,cif,fhg
9 bcdef,afec,abeghi,aig,acbf,aeb,cdh,cgi,chd
9 bcde,aedf,agh,afbe,adb,bdhig,cfi,cif,fhg
9 bcde,aedf,agh,abe,adb,bhig,cfi,cif,fhg
9 bcdef,afec,abghi,aig,abf,aeb,cdh,cgi,chd
9 bcdefg,agf,afehid,acie,adhc,acbg,afb,cei,chd
9 bcdef,afgh,afed,ace,adc,achigb,bfi,bif,fhg
9 bcdef,aghc,abig,agfe,adf,aed,bdcih,bgi,chg
9 bcdefg,aghc,abig,afe,adf,aedg,afcihb,bgi,chg
9 bcdefg,ahc,abig,agfe,adf,aedg,afdcih,bgi,chg
9 bcdef,afeg,ahd,acig,agbf,aeb,bedih,cgi,dhg
9 bcdefg,agfc,abehi,aie,adhc,abg,afb,cei,chd
9 bcdefg,agfc,abehid,acie,adhcf,aebg,afb,cei,chd
9 bcdefg,agf,aehid,acie,adhcf,aebg,afb,cei,chd
9 bcdef,aghc,abigd,acfe,adf,aed,bcih,bgi,chg
9 bcdefg,aghc,abid,acgfe,adf,aedg,afdihb,bgi,chg
9 bcdefg,aghc,abid,acgfe,adf,aed,adihb,bgi,chg
9 bcdefg,aghic,abid,ache,adgf,aeg,afeb,bdi,bhc
9 bcdefg,agedhi,aid,achbe,adbgf,aeg,afeb,bdi,bhc
9 bcdef,afeg,ahd,acige,adgbf,aeb,bedih,cgi,dhg
9 bcdefg,agfc,abfehid,ace,adihcf,aecbg,afb,cei,che
9 bcdef,afg,agfed,ace,adcf,aecghib,bihfc,fgi,fhg
9 bcdef,afg,agfed,ace,adcf,aechib,bihc,fgi,fhg
9 bcdef,afg,aged,ace,adcf,aehib,bihc,fgi,fhg
9 bcde,aedf,afg,agfbe,adb,bdghic,cihfd,fgi,fhg
9 bcde,aedf,afg,agfbe,adb,bdhic,cihd,fgi,fhg
9 bcde,aedf,afg,agbe,adb,bhic,cihd,fgi,fhg
9 bcde,aedf,afg,agbe,adb,bghic,cihfd,fgi,fhg
9 bcde,aed,afg,agfbe,adb,cdghi,cihfd,fgi,fhg
9 bcdef,afe,aeghid,acg,agcbf,aeb,cedih,cgi,chg
9 bcdef,afe,aeghd,aci,aicbf,aeb,cih,cgi,dhge
9 bcdef,afec,abghid,acg,agbf,aeb,cedih,cgi,chg
9 bcdef,afeg,agd,achige,adgbf,aeb,bedihc,dgi,dhg
9 bcdef,afeg,agd,achie,adgbf,aeb,beihc,dgi,dhg
9 bcdef,afe,agd,achige,adgbf,aeb,cedih,dgi,dhg
9 bcdefg,agf,afehid,ace,adihcf,aecbg,afb,cei,che
9 bcdefg,agfc,abfehid,ace,adihc,acbg,afb,cei,che
9 bcdef,afg,afed,ace,adcf,aecghib,bihf,fgi,fhg
9 bcdef,afg,aed,ace,adcf,aeghib,bihf,fgi,fhg
9 bcdef,afg,afed,ace,adcf,aechib,bih,fgi,fhg
9 bcdef,afg,aed,ace,adcf,aehib,bih,fgi,fhg
9 bcdefg,agc,abhig,agfe,adf,aed,adcihb,cgi,chg
9 bcdef,afg,afed,ace,adc,acghib,bihf,fgi,fhg
9 bcdefg,agc,abhig,afe,adf,aedg,afcihb,cgi,chg
9 bcdefg,agc,abhigd,acfe,adf,aedg,afcihb,cgi,chg
9 bcdefg,agc,abhid,acgfe,adf,aedg,afdihb,cgi,chg
9 bcdefg,agc,abhid,acgfe,adf,aed,adihb,cgi,chg
9 bcdef,afghi,aid,aci,aihgf,aeb,beh,bge,bedc
9 bcdefg,aghic,abed,ace,adcf,aeihg,afb,bfi,bhf
9 bcdefg,aghfc,abfed,ace,adcf,aecbhig,afihb,bgif,fhg
9 bcdef,afgeh,ahd,ache,adhbgif,aeigb,bfie,bedc,egf
9 bcde,aefg,aghid,acigf,afb,bedg,bfdihc,cgi,chgd
9 bcdef,afg,agehid,acihe,adhcg,agb,bfec,cedi,chd
9 bcde,afghc,abhfi,aie,adi,bichg,bfh,bgfc,cfed
9 bcdef,afghc,abhfi,aie,adif,aechgb,bfh,bgfc,ced
9 bcdef,afg,aehid,acihe,adhcg,agb,bfe,cedi,chd
9 bcdef,afgc,abehi,aihe,adhcg,agb,bfe,cedi,chd
9 bcde,afgh,aid,acie,adhgf,beg,bfeh,bgei,chd
9 bcde,aefg,ahid,acigf,afb,bed,bdih,cgi,chgd
9 bcdef,afghc,abhi,aie,adif,aehgb,bfh,bgfc,ced
9 bcdef,afghc,abhfi,aie,adif,aeicgb,bfh,bgc,cfed
9 bcde,aefg,aghid,acigf,afb,bedg,bfdhc,cgi,chd
9 bcde,aefg,aghid,acif,afb,bedg,bfhc,cgi,chd
9 bcdef,afgh,ahd,ache,adhif,aeigb,bfi,bedc,egf
9 bcdef,afgeh,ahd,ache,adhbgi,aigb,bfie,bedc,egf
9 bcde,afgh,aid,acie,adihgf,beg,bfeh,bgei,ched
9 bcd,adef,aghi,aeb,bdif,beihg,cfh,cgfi,chfe
9 bcde,aefg,ahid,acigf,afb,bedg,bfdih,cgi,chgd
9 bcdef,afgc,abghid,acihe,adhg,agb,bfec,cedi,chd
9 bcdef,afgc,abghi,aihe,adhg,agb,bfec,cedi,chd
9 bcdef,afeg,aghid,acige,adgbf,aeb,bedihc,cgi,chgd
9 bcdef,afdcghi,aigbd,acbfe,adf,aedb,bcih,bgi,bhgc
9 bcde,aedf,aghfd,acfbe,adb,bdchig,cfih,cgif,fhg
9 bcdef,afe,aedghi,aigce,adcbf,aeb,cdih,cgi,chgd
9 bcdef,afe,adghi,aigce,adbf,aeb,cdih,cgi,chgd
9 bcdef,afe,aeghi,aige,adcbf,aeb,cdih,cgi,chgd
9 bcdef,afec,abdghi,aigce,adbf,aeb,cdih,cgi,chgd
9 bcde,aedf,aghfd,acbe,adb,bchig,cfih,cgif,fhg
9 bcdef,afec,abedgh,ahice,adcbf,aeb,cih,cgid,dhg
9 bcde,aedf,aghfd,acfbe,adb,bdcig,cfih,cgi,fhg
9 bcdef,afec,abdgh,ahice,adbf,aeb,cih,cgid,dhg
9 bcdef,afec,abegh,ahie,adcbf,aeb,cih,cgid,dhg
9 bcdef,afec,abgh,ahie,adbf,aeb,cih,cgid,dhg
9 bcdef,afec,abedgh,aigce,adcbf,aeb,cdih,cgi,dhg
9 bcde,aedf,aghfd,acfbe,adb,bdchi,cih,cgif,fhg
9 bcdef,afec,abeghi,aige,adcbf,aeb,cdih,cgi,chgd
9 bcde,aedf,aghd,acfbe,adb,bdhig,cfih,cgif,fhg
9 bcde,aedf,aghd,acbe,adb,bhig,cfih,cgif,fhg
9 bcdefg,agf,afehid,acihe,adhcf,aecbg,afb,cedi,chd
9 bcdef,aghic,abigd,acgfe,adf,aed,bdcih,bgi,bhgc
9 bcdefg,aghic,abig,agfe,adf,aedg,afdcihb,bgi,bhgc
9 bcdef,afeg,aghid,acig,agbf,aeb,bedihc,cgi,chgd
9 bcdef,afdcghi,aigb,abfe,adf,aedb,bcih,bgi,bhgc
9 bcde,aedf,aghf,afbe,adb,bdchig,cfih,cgif,fhg
9 bcde,aed,afgh,ahbe,adb,chig,cfih,cgifd,fhg
9 bcdef,afe,aedghi,aigc,acbf,aeb,cdih,cgi,chgd
9 bcdef,afe,aeghi,aig,acbf,aeb,cdih,cgi,chgd
9 bcdef,afec,abdghi,aigc,abf,aeb,cdih,cgi,chgd
9 bcde,aedf,aghf,abe,adb,bchig,cfih,cgif,fhg
9 bcdef,afec,abedgh,ahic,acbf,aeb,cih,cgid,dhg
9 bcde,aedf,aghf,afbe,adb,bdcig,cfih,cgi,fhg
9 bcdef,afec,abdgh,ahic,abf,aeb,cih,cgid,dhg
9 bcdef,afec,abedgh,aigc,acbf,aeb,cdih,cgi,dhg
9 bcde,aedf,aghf,afbe,adb,bdchi,cih,cgif,fhg
9 bcdef,afec,abeghi,aig,acbf,aeb,cdih,cgi,chgd
9 bcde,aedf,agh,afbe,adb,bdhig,cfih,cgif,fhg
9 bcdef,afec,abghi,aig,abf,aeb,cdih,cgi,chgd
9 bcdefg,agf,afehid,acihe,adhc,acbg,afb,cedi,chd
9 bcdef,aghic,abig,agfe,adf,aed,bdcih,bgi,bhgc
9 bcdefg,aghic,abig,afe,adf,aedg,afcihb,bgi,bhgc
9 bcdefg,aghic,abig,agfe,adf,aedg,afdchb,bgi,bhc
9 bcdef,afeg,aghid,acig,agbf,aeb,bedhc,cgi,chd
9 bcdefg,agf,afehd,achie,adic,acbg,afb,cid,dhe
9 bcdef,aghic,abig,agfe,adf,aed,bdch,bgi,bhc
9 bcde,afgh,ahed,ace,adc,bhig,bfi,bifc,fhg
9 bcdef,adcgh,ahib,abfe,adf,aed,bih,bgic,chg
9 bcdefg,agdhc,abhid,acib,agf,aeg,afeb,bic,chd
9 bcdefg,ahic,abig,agfe,adf,aedg,afdcih,bgi,bhgc
9 bcdef,afeg,ahid,acig,agbf,aeb,bedih,cgi,chgd
9 bcdefg,agfc,abehi,aihe,adhc,abg,afb,cedi,chd
9 bcdef,aghi,aed,ace,adcf,aeihg,bfh,bgfi,bhf
9 bcdefg,agfc,abfhid,acihe,adh,acbg,afb,cedi,chd
9 bcdefg,agfc,abehid,acihe,adhcf,aebg,afb,cedi,chd
9 bcdef,afeg,aghid,acige,adbf,aeb,bdihc,cgi,chgd
9 bcdefg,agf,aehid,acihe,adhcf,aebg,afb,cedi,chd
9 bcdef,aghic,abigd,acfe,adf,aed,bcih,bgi,bhgc
9 bcdefg,aghic,abigd,acgfe,adf,aedg,afdchb,bgi,bhc
9 bcdef,afeg,aghid,acige,adgbf,aeb,bedhc,cgi,chd
9 bcdefg,agf,afehd,achie,adicf,aecbg,afb,cid,dhe
9 bcdef,afgeh,ahd,ach,ahbif,aeigb,bfi,bedc,egf
9 bcdef,afgh,ahd,ach,ahif,aeigb,bfi,bedc,egf
9 bcdef,aghic,abigd,acgfe,adf,aed,bdch,bgi,bhc
9 bcdef,adcgh,ahibd,acbfe,adf,aed,bih,bgic,chg
9 bcdefg,agdhc,abhid,acibe,adgf,aeg,afeb,bic,chd
9 bcdefg,agehc,abhid,acie,adbgf,aeg,afeb,bic,chd
9 bcdefg,aghc,abhid,acie,adgf,aeg,afeb,bic,chd
9 bcdefg,agedhi,aihd,achbe,adbgf,aeg,afeb,bdci,bhc
9 bcdef,afeg,ahid,acige,adgbf,aeb,bedih,cgi,chgd
9 bcdefg,agfc,abfhid,acihe,adhf,aecbg,afb,cedi,chd
9 bcdef,afeg,aghid,acie,adgbf,aeb,beihc,cgi,chgd
9 bcdef,afeg,aghid,acie,adbf,aeb,bihc,cgi,chgd
9 bcdefg,aghc,abfed,ace,adc,achig,afihb,bgif,fhg
9 bcdef,aghic,abid,acgfe,adf,aed,bdih,bgi,bhgc
9 bcdefg,aghic,abihd,ache,adgf,aeg,afeb,bdci,bhc
9 bcdefg,agedhic,abihd,acbe,adbgf,aeg,afeb,bci,bhc
9 bcdef,afeg,agd,acge,adgbhif,aeihb,bedc,efi,ehf
9 bcde,aefg,aghid,acgf,afb,bedg,bfdihc,cgi,chg
9 bcde,aefg,aghid,acf,afb,bedg,bfihc,cgi,chg
9 bcde,aefcghi,aibf,afe,adfb,bedc,bih,bgi,bhgc
9 bcd,adef,agfe,aeb,bdcf,bechig,cfih,fgi,fhg
9 bcd,adef,age,aeb,bdcf,behig,cfih,fgi,fhg
9 bcd,ade,afge,aeb,bdcg,cghi,cihfe,fgi,fhg
9 bcde,aefc,abfghi,aif,afb,bedc,cih,cgi,chgd
9 bcde,aefc,abghi,aif,afb,bed,cih,cgi,chgd
9 bcde,aef,afdghi,aicf,afb,bedc,cih,cgi,chgd
9 bcde,aef,afghi,aif,afb,bedc,cih,cgi,chgd
9 bcde,aef,afdgh,aicf,afb,bedc,cih,cgi,dhg
9 bcde,aefc,abdghi,aicf,afb,bed,cih,cgi,chgd
9 bcd,adef,agfe,aeb,bdc,bchig,cfih,fgi,fhg
9 bcde,aef,adghi,aicf,afb,bed,cih,cgi,chgd
9 bcde,aefc,abdgh,aicf,afb,bed,cih,cgi,dhg
9 bcde,aef,adgh,aicf,afb,bed,cih,cgi,dhg
9 bcde,aefc,abfdgh,aicf,afb,bedc,cih,cgi,dhg
9 bcd,adef,agfe,aeb,bdcf,bechi,cih,fgi,fhg
9 bcd,ade,afge,aeb,bdcg,chi,cihe,fgi,fhg
9 bcde,aefc,abfgh,aif,afb,bedc,cih,cgi,dhg
9 bcdef,afg,agehid,acihe,adcg,agb,bfec,cdi,chd
9 bcde,afghc,abfi,aie,adi,bichg,bfh,bgf,cfed
9 bcdef,afghc,abi,aie,adi,aihgb,bfh,bgf,cfed
9 bcdef,aghc,abfi,aie,adi,aichg,bfh,bgf,cfed
9 bcdef,afghc,abfi,aie,adif,aechgb,bfh,bgf,ced
9 bcdef,afg,aehid,acihe,adcg,agb,bfe,cdi,chd
9 bcdef,afgc,abehi,aihe,adcg,agb,bfe,cdi,chd
9 bcde,aefg,ahid,acgf,afb,bed,bdih,cgi,chg
9 bcdef,afgc,abgehi,aihe,adcg,agb,bfec,cdi,chd
9 bcde,aefg,ahid,acgf,afb,bedg,bfdih,cgi,chg
9 bcde,aef,aghd,acif,afb,bedi,cih,cgi,dhgf
9 bcdef,afgc,abghi,aihe,adg,agb,bfec,cdi,chd
9 bcdef,afgc,abghid,acihe,adg,agb,bfec,cdi,chd
9 bcdef,afgc,abhid,acihe,adg,agb,bfe,cdi,chd
9 bcdef,afeg,aghid,acge,adgbf,aeb,bedihc,cgi,chg
9 bcdef,afeg,aghid,ace,adgbf,aeb,beihc,cgi,chg
9 bcdef,afdcghi,aibd,acbfe,adf,aedb,bih,bgi,bhgc
9 bcde,aedf,agfd,acfbe,adb,bdchig,cfih,fgi,fhg
9 bcde,aedf,agd,acfbe,adb,bdhig,cfih,fgi,fhg
9 bcde,aedf,agd,acbe,adb,bhig,cfih,fgi,fhg
9 bcdef,afe,aedghi,aice,adcbf,aeb,cih,cgi,chgd
9 bcdef,afe,aeghi,aie,adcbf,aeb,cih,cgi,chgd
9 bcdef,afec,abdghi,aice,adbf,aeb,cih,cgi,chgd
9 bcde,aedf,agfd,acbe,adb,bchig,cfih,fgi,fhg
9 bcdef,afe,adghi,aice,adbf,aeb,cih,cgi,chgd
9 bcdef,afec,abedgh,aice,adcbf,aeb,cih,cgi,dhg
9 bcde,aedf,agfd,acfbe,adb,bdchi,cih,fgi,fhg
9 bcdef,afec,abegh,aie,adcbf,aeb,cih,cgi,dhg
9 bcde,aedf,agd,acfbe,adb,bdhi,cih,fgi,fhg
9 bcde,aedf,agd,acbe,adb,bhi,cih,fgi,fhg
9 bcdef,afc,abfd,acfghi,aif,aedcb,dih,dgi,dhge
9 bcdef,afc,abfd,acghi,aif,aecb,dih,dgi,dhge
9 bcdefg,agc,abg,agfhie,adihf,aedg,afdcb,dei,dhe
9 bcdef,aghic,abgd,acgfe,adf,aed,bdcih,bgi,bhg
9 bcdefg,aghic,abd,acgfe,adf,aed,adihb,bgi,bhg
9 bcdef,aghic,abd,acgfe,adf,aed,bdih,bgi,bhg
9 bcdefg,aghic,abg,agfe,adf,aedg,afdcihb,bgi,bhg
9 bcdef,afeg,aghid,acg,agbf,aeb,bedihc,cgi,chg
